headline,time_stamp (yyyymmdd hhmmss)
CSX Q1 EPS 45 cents vs 40 cents; FactSet consensus 44 cents,20150414 200504
Shares of Intel Corp. up 1.6% in after hours,20150414 200409
Intel Corp. Q1 EPS in line with consensus,20150414 200409
Intel Corp. Q1 EPS 41 cents,20150414 200409
S&P 500 up 0.2%; Nasdaq Composite falls 0.2%,20150414 200100
"Australia's S&P/ASX 200 up 0.1% at 5,949.70 early",20150415 002644
"Japan's Topix down 0.3% at 1,585.49 in early moves",20150415 000119
"Japan's Nikkei Average opens down 0.4% at 19,838.53",20150415 000051
CSX Q1 revenue $3.0 bln'; FactSet consensus 3.0 bln,20150414 200658
CSX Corp.'s stock rallies 2.4% in after-hours trade after Q1 results,20150414 200639
CSX's new share buyback program to be completed over next 24 months,20150414 200610
CSX Corp. sets new $2 bln share buyback program,20150414 200535
CSX Corp. raises quarterly dividend 13% to 18 cents a share,20150414 200508
CSX Q1 EPS 45 cents vs 40 cents; FactSet consensus 44 cents,20150414 200504
Shares of Intel Corp. up 1.6% in after hours,20150414 200409
"Shanghai Composite flat at 4,135.65",20150415 013004
"Hong Kong H-shares index up 0.6% at 14,353.10",20150415 013004
"Hong Kong's Hang Seng opens up 0.5% at 27,693.65",20150415 013002
"Australia's S&P/ASX 200 up 0.1% at 5,949.70 early",20150415 002644
"Japan's Topix down 0.3% at 1,585.49 in early moves",20150415 000119
"Japan's Nikkei Average opens down 0.4% at 19,838.53",20150415 000051
CSX Q1 revenue $3.0 bln'; FactSet consensus 3.0 bln,20150414 200658
CSX Corp.'s stock rallies 2.4% in after-hours trade after Q1 results,20150414 200639
CSX's new share buyback program to be completed over next 24 months,20150414 200610
CSX Corp. sets new $2 bln share buyback program,20150414 200535
China stocks now rebounding; Shanghai up 0.3%,20150415 020959
China stocks now rebounding; Hang Seng Index up 0.2%,20150415 020949
Australia dollar eases to 75.95 U.S. cents vs. 76.09 cents,20150415 020617
Shanghai Composite holds to 0.1% loss after data,20150415 020543
"Hong Kong Hang Seng Index trims gain after data, up 0.1% vs. 0.2%",20150415 020519
China March retail sales growth slows to 10.2% vs. 10.7%,20150415 020427
China March industrial output growth slows to 5.6% vs. 6.8%,20150415 020232
"China Q1 GDP up 7%, roughly in line with forecast",20150415 020053
Alibaba Health surges 86% after parent injects $2.5 billion,20150415 013416
"Shanghai Composite flat at 4,135.65",20150415 013004
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
"Shanghai Composite heads back down, now off 1.4%",20150415 032047
China stocks now rebounding; Shanghai up 0.3%,20150415 020959
China stocks now rebounding; Hang Seng Index up 0.2%,20150415 020949
Australia dollar eases to 75.95 U.S. cents vs. 76.09 cents,20150415 020617
Shanghai Composite holds to 0.1% loss after data,20150415 020543
"Hong Kong Hang Seng Index trims gain after data, up 0.1% vs. 0.2%",20150415 020519
China March retail sales growth slows to 10.2% vs. 10.7%,20150415 020427
China March industrial output growth slows to 5.6% vs. 6.8%,20150415 020232
"China Q1 GDP up 7%, roughly in line with forecast",20150415 020053
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
"Shanghai Composite heads back down, now off 1.4%",20150415 032047
China stocks now rebounding; Shanghai up 0.3%,20150415 020959
China stocks now rebounding; Hang Seng Index up 0.2%,20150415 020949
Australia dollar eases to 75.95 U.S. cents vs. 76.09 cents,20150415 020617
Shanghai Composite holds to 0.1% loss after data,20150415 020543
"Hong Kong Hang Seng Index trims gain after data, up 0.1% vs. 0.2%",20150415 020519
China March retail sales growth slows to 10.2% vs. 10.7%,20150415 020427
China March industrial output growth slows to 5.6% vs. 6.8%,20150415 020232
"China Q1 GDP up 7%, roughly in line with forecast",20150415 020053
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
"Shanghai Composite heads back down, now off 1.4%",20150415 032047
China stocks now rebounding; Shanghai up 0.3%,20150415 020959
China stocks now rebounding; Hang Seng Index up 0.2%,20150415 020949
Australia dollar eases to 75.95 U.S. cents vs. 76.09 cents,20150415 020617
Shanghai Composite holds to 0.1% loss after data,20150415 020543
"Hong Kong Hang Seng Index trims gain after data, up 0.1% vs. 0.2%",20150415 020519
China March retail sales growth slows to 10.2% vs. 10.7%,20150415 020427
China March industrial output growth slows to 5.6% vs. 6.8%,20150415 020232
"China Q1 GDP up 7%, roughly in line with forecast",20150415 020053
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
"Shanghai Composite heads back down, now off 1.4%",20150415 032047
China stocks now rebounding; Shanghai up 0.3%,20150415 020959
China stocks now rebounding; Hang Seng Index up 0.2%,20150415 020949
Australia dollar eases to 75.95 U.S. cents vs. 76.09 cents,20150415 020617
Shanghai Composite holds to 0.1% loss after data,20150415 020543
"Hong Kong Hang Seng Index trims gain after data, up 0.1% vs. 0.2%",20150415 020519
China March retail sales growth slows to 10.2% vs. 10.7%,20150415 020427
China March industrial output growth slows to 5.6% vs. 6.8%,20150415 020232
"China Q1 GDP up 7%, roughly in line with forecast",20150415 020053
Nokia rises 4.2% after $16.6 billion deal to take over Alcatel-Lucent ,20150415 071040
Alcatel-Lucent shares fall 7.4% after $16.6 billion buyout by Nokia ,20150415 070719
Intel price target lifted to $40 from $38 at RBC,20150415 070607
Intel lifted to outperform from sector perform at RBC,20150415 070607
"France's CAC opens 0.2% higher at 5,230.80 ",20150415 070403
"Germany's DAX opens 0.1% higher at 12,242.96",20150415 070231
"U.K's FTSE 100 opens flat at 7,075.86",20150415 070206
Stoxx Europe 600 opens 0.2% higher at 412.37,20150415 070128
"Hong Kong Hang Seng Index loses gains, now flat",20150415 032120
"Shanghai Composite heads back down, now off 1.4%",20150415 032047
